"x"
"|cluster |cell_name                           | uniqueN|   N|"
"|:-------|:-----------------------------------|-------:|---:|"
"|0       |Epithelial cell                     |      10| 125|"
"|0       |Cancer cell                         |       7|  20|"
"|0       |Cancer stem cell                    |       3|  11|"
"|1       |T cell                              |      24| 397|"
"|1       |CD8+ T cell                         |      18| 135|"
"|1       |CD4+ T cell                         |      11|  50|"
"|2       |Natural killer cell                 |      25| 241|"
"|2       |T cell                              |      16|  43|"
"|2       |Cytotoxic T cell                    |       9|  34|"
"|3       |T cell                              |      17| 211|"
"|3       |CD4+ T cell                         |      13|  64|"
"|3       |Natural killer cell                 |       9|  32|"
"|4       |Macrophage                          |      26| 223|"
"|4       |Monocyte                            |      12| 112|"
"|4       |M2 macrophage                       |      13|  58|"
"|5       |Pericyte                            |      11|  58|"
"|5       |Fibroblast                          |      10|  50|"
"|5       |Smooth muscle cell                  |       7|  44|"
"|6       |Endothelial cell                    |      20| 161|"
"|6       |Vascular endothelial cell           |       8|  14|"
"|6       |Hematopoietic stem cell             |       3|  13|"
"|7       |Monocyte                            |      13|  99|"
"|7       |Myeloid cell                        |      14|  38|"
"|7       |Neutrophil                          |       6|  29|"
"|8       |Regulatory T(Treg) cell             |      21| 193|"
"|8       |T cell                              |      18| 115|"
"|8       |CD4+ T cell                         |      12|  78|"
"|9       |Dendritic cell                      |      19|  99|"
"|9       |Myeloid cell                        |       9|  27|"
"|9       |Conventional dendritic cell 2(cDC2) |       6|  24|"
"|10      |Proliferative cell                  |       3|  10|"
"|10      |Cycling cell                        |       2|   8|"
"|10      |Dividing cell                       |       2|   7|"
"|11      |Endothelial cell                    |       8|  77|"
"|11      |Vascular endothelial cell           |       3|   9|"
"|11      |Neuron                              |       3|   4|"
"|12      |Macrophage                          |      25| 232|"
"|12      |Monocyte                            |      13| 117|"
"|12      |Myeloid cell                        |      17|  79|"
"|13      |Epithelial cell                     |       4|  46|"
"|13      |Cancer cell                         |       3|   6|"
"|13      |Cancer stem cell                    |       1|   5|"
"|14      |Cancer cell                         |       3|   5|"
"|14      |Neutrophil                          |       1|   4|"
"|14      |B cell                              |       1|   3|"
"|15      |B cell                              |      20| 184|"
"|15      |Plasma cell                         |      26| 176|"
"|15      |Plasmablast                         |      12|  22|"
"|16      |B cell                              |      24| 283|"
"|16      |Naive T(Th0) cell                   |       2|  36|"
"|16      |Naive B cell                        |       9|  32|"
"|17      |Mast cell                           |      16| 112|"
"|17      |Dendritic cell                      |       2|  17|"
"|17      |Basophil                            |       6|   9|"
"|18      |Proximal tubular cell               |       2|   6|"
"|18      |Fibroblast                          |       3|   5|"
"|18      |Epithelial cell                     |       1|   3|"
