"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.43991839959156,0.322,0.01,0,"0","MMP7"
0,5.39130041603414,0.775,0.043,0,"0","WFDC2"
0,5.35929528946526,0.279,0.011,0,"0","FGB"
0,5.16322316681,0.58,0.016,0,"0","CLDN3"
0,5.04404224720717,0.568,0.026,0,"0","CLDN4"
0,5.01420446497172,0.748,0.027,0,"0","CA9"
0,4.78878689385226,0.45,0.017,0,"0","AOC1"
0,4.76460569613857,0.516,0.027,0,"0","KRT19"
0,4.72790238856595,0.635,0.026,0,"0","GAL3ST1"
0,4.69011576417319,0.28,0.017,0,"0","REG1A"
0,4.43659081541003,0.929,0.109,0,"1","GZMK"
0,4.37289355409535,0.43,0.037,0,"1","TNFRSF9"
0,4.1823330948786,0.359,0.031,0,"1","PDCD1"
0,4.05351737199811,0.773,0.101,0,"1","CD27"
0,3.94057106131288,0.473,0.064,0,"1","LAG3"
0,3.73239123306169,0.679,0.073,0,"1","CD8B"
0,3.68791146780791,0.376,0.05,0,"1","TTN"
0,3.67364735726118,0.798,0.101,0,"1","CD8A"
0,3.63919896549759,0.284,0.033,0,"1","CCDC141"
0,3.54265941559011,0.32,0.037,0,"1","SIRPG"
0,6.65236564179281,0.752,0.02,0,"2","FGFBP2"
0,6.61167630773264,0.45,0.01,0,"2","KLRF1"
0,5.64086413971055,0.8,0.054,0,"2","GNLY"
0,5.35466563345691,0.88,0.048,0,"2","KLRD1"
0,4.99011878079284,0.347,0.019,0,"2","S1PR5"
0,4.96999544077439,0.253,0.012,0,"2","CD160"
0,4.8542300726329,0.582,0.023,0,"2","TRDC"
0,4.68392451289011,0.844,0.066,0,"2","GZMB"
0,3.93896653158527,0.283,0.021,0,"2","FCRL6"
0,3.91630599909138,0.505,0.075,0,"2","CLIC3"
0,5.56901715521707,0.31,0.009,0,"3","CD40LG"
0,4.46503488781854,0.799,0.083,0,"3","IL7R"
0,2.93123758269438,0.274,0.051,0,"3","FLT3LG"
0,2.86006333042311,0.294,0.058,0,"3","TCF7"
0,2.79928015893356,0.744,0.191,0,"3","LTB"
0,2.28991836628611,0.285,0.065,0,"3","GPR171"
0,2.27035635441205,0.323,0.099,0,"3","CDC14A"
0,2.17498270403635,0.282,0.063,0,"3","TRAT1"
0,2.11785762465697,0.38,0.106,0,"3","OXNAD1"
0,2.10204859498704,0.301,0.079,0,"3","CD6"
0,6.00086924390625,0.919,0.065,0,"4","C1QC"
0,5.79350581708469,0.937,0.13,0,"4","C1QB"
0,5.78779618519664,0.504,0.017,0,"4","FOLR2"
0,5.7254220605262,0.738,0.019,0,"4","TREM2"
0,5.70874615075759,0.947,0.133,0,"4","C1QA"
